model,variable,coeff,t_stat,p_value,r_squared,n_obs
primary_t1,const,-0.00001236,-1.38214094,0.16692843,0.23645111,53787
primary_t1,tfi,0.00066418,5.12118993,0.00000030,0.23645111,53787
primary_t1,regime_score,0.00002549,1.81023058,0.07026004,0.23645111,53787
primary_t1,tfi_x_regime,0.00010984,0.56778661,0.57017987,0.23645111,53787
primary_t1,lag_return,-0.48850603,-53.88085995,0.00000000,0.23645111,53787
primary_t1,lag_tfi,-0.00005167,-0.91902568,0.35808214,0.23645111,53787
contemporaneous,const,-0.00001045,-1.29703741,0.19461832,0.00865869,53787
contemporaneous,tfi,0.00068081,4.77689926,0.00000178,0.00865869,53787
contemporaneous,regime_score,0.00002444,1.90398062,0.05691271,0.00865869,53787
contemporaneous,tfi_x_regime,0.00154880,7.21367764,0.00000000,0.00865869,53787
contemporaneous,lag_tfi,-0.00013072,-2.07402834,0.03807668,0.00865869,53787
horizon_t5,const,-0.00001235,-0.63095276,0.52807142,0.21817223,52942
horizon_t5,tfi,0.00071613,4.95764063,0.00000071,0.21817223,52942
horizon_t5,regime_score,0.00002217,0.73924382,0.45975895,0.21817223,52942
horizon_t5,tfi_x_regime,-0.00002735,-0.12335442,0.90182645,0.21817223,52942
horizon_t5,lag_return,-0.49361690,-52.25651082,0.00000000,0.21817223,52942
horizon_t5,lag_tfi,-0.00008724,-1.42838110,0.15318220,0.21817223,52942
horizon_t15,const,-0.00001451,-0.55738811,0.57726229,0.17799767,51252
horizon_t15,tfi,0.00076479,4.86810005,0.00000113,0.17799767,51252
horizon_t15,regime_score,0.00002728,0.67450873,0.49998794,0.17799767,51252
horizon_t15,tfi_x_regime,-0.00010781,-0.44171881,0.65869269,0.17799767,51252
horizon_t15,lag_return,-0.49513246,-51.83254694,0.00000000,0.17799767,51252
horizon_t15,lag_tfi,-0.00007945,-1.14655002,0.25156765,0.17799767,51252
subsample_full,const,-0.00001236,-1.38214094,0.16692843,0.23645111,53787
subsample_full,tfi,0.00066418,5.12118993,0.00000030,0.23645111,53787
subsample_full,regime_score,0.00002549,1.81023058,0.07026004,0.23645111,53787
subsample_full,tfi_x_regime,0.00010984,0.56778661,0.57017987,0.23645111,53787
subsample_full,lag_return,-0.48850603,-53.88085995,0.00000000,0.23645111,53787
subsample_full,lag_tfi,-0.00005167,-0.91902568,0.35808214,0.23645111,53787
subsample_may_sep,const,-0.00001014,-0.85727658,0.39129205,0.23066463,34072
subsample_may_sep,tfi,0.00063773,3.71472287,0.00020343,0.23066463,34072
subsample_may_sep,regime_score,0.00002598,1.39793768,0.16213178,0.23066463,34072
subsample_may_sep,tfi_x_regime,0.00009746,0.38020735,0.70379151,0.23066463,34072
subsample_may_sep,lag_return,-0.48223127,-43.17171549,0.00000000,0.23066463,34072
subsample_may_sep,lag_tfi,-0.00005463,-0.72945206,0.46572518,0.23066463,34072
subsample_oct_dec,const,-0.00001623,-1.21669702,0.22371951,0.24929435,19715
subsample_oct_dec,tfi,0.00072569,3.99127674,0.00006572,0.24929435,19715
subsample_oct_dec,regime_score,0.00002426,1.14958064,0.25031664,0.24929435,19715
subsample_oct_dec,tfi_x_regime,0.00012643,0.46897136,0.63909011,0.24929435,19715
subsample_oct_dec,lag_return,-0.50220822,-32.64310159,0.00000000,0.24929435,19715
subsample_oct_dec,lag_tfi,-0.00004477,-0.56990954,0.56873906,0.24929435,19715
